,,"AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3"
,,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1
,,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851
Abs Lateral G [G],Range,1.93,1.80,7.07,1.79,0.52,0.51,0.63,1.60,1.75,1.17,1.51,0.56,1.59,1.82,0.89,1.91,1.17,0.96,1.29,1.54,1.71,0.75,0.34,1.91,1.37,1.19,1.56,4.44,0.34
Abs Lateral G [G],Avg,0.43,1.44,0.63,0.63,0.30,0.31,0.88,1.19,0.56,1.21,0.58,1.13,0.46,1.09,0.88,1.22,0.67,0.82,0.82,1.32,0.25,1.35,1.40,1.23,0.71,1.35,1.05,0.66,0.10
Abs Lateral G [G],Start,0.24,1.85,1.57,1.34,0.26,0.47,0.53,1.10,0.40,1.72,0.75,1.31,0.99,1.43,0.31,1.02,0.03,1.19,0.38,1.35,1.06,1.29,1.52,1.29,1.37,1.39,0.83,1.35,0.09
Abs Lateral G [G],End,1.85,1.57,1.34,0.26,0.47,0.53,1.10,0.40,1.72,0.75,1.31,0.99,1.43,0.31,1.02,0.03,1.19,0.38,1.35,1.06,1.29,1.52,1.29,1.37,1.39,0.83,1.35,0.09,0.04
Abs Lateral G [G],Std Dev,0.50,0.37,0.62,0.54,0.16,0.17,0.16,0.28,0.39,0.34,0.36,0.16,0.46,0.51,0.21,0.37,0.28,0.35,0.40,0.39,0.38,0.20,0.11,0.49,0.40,0.25,0.36,0.63,0.08
CG Accel Lateral [G],Min,-0.31,0.25,-7.08,-1.34,-0.53,-0.50,0.53,-0.50,-1.75,-1.72,-1.51,0.82,-1.60,-1.83,0.31,-0.03,-1.20,-1.27,-1.60,-2.09,-1.11,0.92,1.21,0.29,-1.39,-2.02,-1.49,-4.44,-0.34
CG Accel Lateral [G],Max,1.93,2.05,1.60,1.79,0.26,0.53,1.17,1.60,0.32,-0.55,1.31,1.38,0.99,0.57,1.20,1.93,-0.03,-0.31,-0.31,-0.55,1.71,1.66,1.54,2.20,1.37,-0.83,1.59,0.84,0.14
CG Accel Lateral [G],Range,2.23,1.80,8.68,3.13,0.79,1.03,0.63,2.10,2.08,1.17,2.83,0.56,2.58,2.40,0.89,1.96,1.17,0.96,1.29,1.54,2.83,0.75,0.34,1.91,2.76,1.19,3.07,5.29,0.47
CG Accel Lateral [G],Avg,0.36,1.44,0.14,0.26,-0.22,0.12,0.88,1.15,-0.51,-1.21,-0.27,1.13,-0.23,-1.00,0.88,1.22,-0.67,-0.82,-0.82,-1.32,0.08,1.35,1.40,1.23,-0.46,-1.35,0.15,-0.59,-0.05
CG Accel Lateral [G],Start,0.24,1.85,1.57,1.34,0.26,-0.47,0.53,1.10,-0.40,-1.72,-0.75,1.31,0.99,-1.43,0.31,1.02,-0.03,-1.19,-0.38,-1.35,-1.06,1.29,1.52,1.29,1.37,-1.39,-0.83,-1.35,0.09
